日K,總權益$,A腿$,趨勢腿$,總報酬%,A淨曝險,趨勢投入,當日換手A,當日換手T
2026-07-09,9994.33,4997.17,4997.17,-0.06,-1.0,0.333,1.0,0.333
2026-07-10,9908.73,4954.37,4954.37,-0.91,-1.0,0.667,0.031,0.333
2026-07-11,9919.97,4959.99,4959.99,-0.8,-1.0,0.667,0.007,0.003
2026-07-12,9953.7,4976.85,4976.85,-0.46,-1.0,0.667,0.006,0.003
2026-07-13,9981.32,4990.66,4990.66,-0.19,-1.0,0.667,0.045,0.005
2026-07-14,9931.44,4965.72,4965.72,-0.69,-1.0,1.0,0.092,0.342
2026-07-15,9913.75,4956.88,4956.88,-0.86,-1.0,1.0,0.007,0.004
2026-07-16,9902.17,4951.09,4951.09,-0.98,-1.0,0.667,0.038,0.337
2026-07-17,9862.44,4931.22,4931.22,-1.38,-1.0,1.0,0.005,0.337
2026-07-18,9854.86,4927.43,4927.43,-1.45,-1.0,1.0,0.015,0.0
2026-07-19,9867.78,4933.89,4933.89,-1.32,-1.0,1.0,0.009,0.0
2026-07-20,9882.23,4941.12,4941.12,-1.18,-1.0,1.0,0.027,0.006
2026-07-21,9885.27,4942.63,4942.63,-1.15,-1.0,1.0,0.024,0.005
2026-07-22,9892.5,4946.25,4946.25,-1.07,-1.0,1.0,0.003,0.003
2026-07-23,9903.41,4951.7,4951.7,-0.97,-1.0,1.0,0.052,0.0
2026-07-24,9898.33,4949.16,4949.16,-1.02,-1.0,1.0,0.029,0.004
2026-07-25,9888.9,4944.45,4944.45,-1.11,-1.0,1.0,0.004,0.0
2026-07-26,9894.55,4947.28,4947.28,-1.05,-1.0,1.0,0.07,0.009
2026-07-27,9955.06,4977.53,4977.53,-0.45,-1.0,1.0,0.081,0.0
2026-07-28,9923.4,4961.7,4961.7,-0.77,-1.0,0.667,0.013,0.333
2026-07-29,9952.01,4976.01,4976.01,-0.48,-1.0,0.667,0.002,0.0
2026-07-30,9919.04,4959.52,4959.52,-0.81,-1.0,0.667,0.016,0.004
2026-07-31,9922.98,4961.49,4961.49,-0.77,-1.0,0.333,0.032,0.335
2026-08-01,9916.26,4958.13,4958.13,-0.84,-1.0,0.333,0.007,0.0
2026-08-02,9805.81,4902.91,4902.91,-1.94,-1.0,0.667,0.052,0.336
2026-08-03,9813.39,4906.69,4906.69,-1.87,-1.0,0.667,0.009,0.003
2026-08-04,9835.15,4917.57,4917.57,-1.65,-1.0,0.667,0.0,0.003
2026-08-05,9874.77,4937.38,4937.38,-1.25,-1.0,0.667,0.008,0.004
2026-08-06,9862.65,4931.33,4931.33,-1.37,-1.0,0.667,0.013,0.0
2026-08-07,9865.08,4932.54,4932.54,-1.35,-1.0,0.667,0.003,0.0
2026-08-08,9815.86,4907.93,4907.93,-1.84,-1.0,1.0,0.023,0.333
2026-08-09,9863.33,4931.67,4931.67,-1.37,-1.0,1.0,0.015,0.0
2026-08-10,9833.43,4916.72,4916.72,-1.67,-1.0,1.0,0.008,0.007
2026-08-11,9786.81,4893.41,4893.41,-2.13,-1.0,1.0,0.015,0.003
2026-08-12,9832.36,4916.18,4916.18,-1.68,-1.0,0.667,0.024,0.333
2026-08-13,9811.48,4905.74,4905.74,-1.89,-1.0,1.0,0.004,0.336
2026-08-14,9811.19,4905.6,4905.6,-1.89,-1.0,0.333,0.003,0.665
2026-08-15,9789.93,4894.96,4894.96,-2.1,-1.0,0.333,0.012,0.0
2026-08-16,9811.23,4905.62,4905.62,-1.89,-1.0,0.333,0.006,0.0
2026-08-17,9775.72,4887.86,4887.86,-2.24,-1.0,0.667,0.018,0.339
2026-08-18,9787.86,4893.93,4893.93,-2.12,-1.0,1.0,0.006,0.333
2026-08-19,9902.35,4951.17,4951.17,-0.98,-1.0,1.0,0.21,0.034
2026-08-20,9868.89,4934.44,4934.44,-1.31,-0.5,1.0,0.592,0.009
2026-08-21,9971.15,4985.58,4985.58,-0.29,-0.5,1.0,0.085,0.0
2026-08-22,9926.17,4963.09,4963.09,-0.74,-0.5,1.0,0.005,0.011
2026-08-23,9974.12,4987.06,4987.06,-0.26,-0.5,1.0,0.003,0.0
